Testing RandomTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
|                          | 100000  | 2105174 2105174 6947074    | 2186830 2286830 7316539    | 1968027 2724826 7251288     |
|                          | 1000000 | 25878164 25878164 85397941 | 26861961 27861961 89644471 | 24681482 33945714 90713122  |
| 5d: FourRot              |         |                            |                            |                             |
|                          | 100     | 683 683 2253               | 678 778 2337               | 548 789 2049                |
|                          | 10000   | 162325 162325 535672       | 173134 183134 581342       | 151201 207121 554883        |
|                          | 100000  | 2105174 2105174 6947074    | 2242894 2342894 7501550    | 2019102 2737728 7381662     |
|                          | 1000000 | 25878164 25878164 85397941 | 27534283 28534283 91863133 | 25304887 34103162 92304402  |
------------------------------------------------------------------------------------------------------------------------------
Testing ZipfTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
------------------------------------------------------------------------------------------------------------------------------
| 0: BST                   |         |                            |                            |                             |
|                          | 1000    | 0 11474 11474              | 0 8873 8873                | 0 10308 10308               |
|                          | 10000   | 0 147478 147478            | 0 123537 123537            | 0 134818 134818             |
|                          | 100000  | 0 2007981 2007981          | 0 1651204 1651204          | 0 1873203 1873203           |
|                          | 1000000 | 0 24830343 24830343        | 0 17051335 17051335        | 0 23471942 23471942         |
| 1: Vanilla               |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 7558 8558 25941            | 9634 14113 36271            |
|                          | 10000   | 162325 162325 535672       | 99132 109132 337135        | 143505 207180 537241        |
|                          | 100000  | 2105174 2105174 6947074    | 1207004 1307004 4083113    | 1917266 2738411 7148122     |
|                          | 1000000 | 25878164 25878164 85397941 | 14054789 15054789 47380803 | 24019815 34066344 89311918  |
| 2a: Rand 1-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 2516 8362 14148            | 9612 14450 36557            |
|                          | 10000   | 162325 162325 535672       | 32891 105798 181447        | 142479 211494 539195        |
|                          | 100000  | 2105174 2105174 6947074    | 387292 1264159 2154930     | 1905046 2793720 7175325     |
|                          | 1000000 | 25878164 25878164 85397941 | 4506123 14507121 24871203  | 23835661 34715325 89537345  |
| 2b: Rand 2-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 2664 8741 14868            | 9703 14171 36487            |
|                          | 10000   | 162325 162325 535672       | 34113 109586 188045        | 143994 207656 538842        |
|                          | 100000  | 2105174 2105174 6947074    | 402898 1310292 2236957     | 1924008 2744177 7169395     |
|                          | 1000000 | 25878164 25878164 85397941 | 4693468 15063104 25858080  | 24084096 34127088 89520508  |
| 2c: Rand 3-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 2729 8969 15245            | 9862 14243 36925            |
